Batch_ID,Time_Minutes,Phase,Temperature_C,Pressure_Bar,Humidity_Percent,Motor_Speed_RPM,Compression_Force_kN,Flow_Rate_LPM,Power_Consumption_kW,Vibration_mm_s,Energy_kWh
T024,0,Preparation,24.83438606932711,1.036328453677582,46.01968408736651,0.0,0.0,0.0,2.460480411664443,0.01435774713585847,0.04100800686107405
T024,1,Preparation,27.88742838911374,1.084015717097465,40.87934033184463,0.0,0.0,0.0,1.6305304145183,0.1426095347239408,0.027175506908638333
T024,2,Preparation,25.18616971493206,1.106971473597274,42.78403390590164,0.0,0.0,0.0,2.056358063208492,0.1134263001543266,0.0342726343868082
T024,3,Preparation,24.228550684444,0.9853524201635954,44.72219642866898,0.0,0.0,0.0,1.830667256738171,0.06858504540924117,0.030511120945636183
T024,4,Preparation,24.01905635529587,0.8538799072778187,46.42219103125296,0.0,0.0,0.0,1.75124645665723,0.0558122588000513,0.029187440944287168
T024,5,Preparation,26.68923394085414,1.058593162753923,43.62107062502698,0.0,0.0,0.0,3.248518039951368,0.1476820295025867,0.05414196733252279
T024,6,Preparation,20.78157574736586,1.061825909428598,46.05256934141182,0.0,0.0,0.0,2.328822335669637,0.09398851103598724,0.03881370559449395
T024,7,Preparation,24.72402904103895,0.8655303436195371,43.96075703435444,0.0,0.0,0.0,1.718672212628374,0.01377432263399274,0.028644536877139568
T024,8,Preparation,27.72525524420757,1.092821495244563,43.6421696885725,0.0,0.0,0.0,2.227180148560421,0.1372634018151349,0.037119669142673686
T024,9,Preparation,28.21043755892075,0.8721800886969504,47.58828232980532,0.0,0.0,0.0,1.683744243129424,0.07265016304457758,0.028062404052157066
T024,10,Preparation,28.00727495719374,1.116950120456525,40.56620760638155,0.0,0.0,0.0,1.921760253432416,0.1310250845406611,0.03202933755720693
T024,11,Preparation,26.29557895444257,0.9694260889569214,45.64491290528503,0.0,0.0,0.0,2.217268191586756,0.1509027013870283,0.036954469859779265
T024,12,Preparation,24.39308146043994,0.8230495174132142,43.18043914807673,0.0,0.0,0.0,1.811127036784947,0.04434810913222186,0.03018545061308245
T024,13,Preparation,25.39030436463159,1.197104683781843,42.78386143576618,0.0,0.0,0.0,0.3758895896236103,0.1080315998160145,0.006264826493726838
T024,14,Preparation,24.61602522849029,0.7873258294615255,48.93063152721427,0.0,0.0,0.0,1.886981605206307,0.2264172515133066,0.03144969342010512
T024,15,Preparation,23.28179717142839,1.012448910831759,48.08203102269811,0.0,0.0,0.0,2.910186910353223,0.1041571361729405,0.048503115172553714
